Round,EyeStoneWatcher,HowlingMouth,Danger,Trap,Spin,Electric,Ice,Fog,Random,TimeRelic,AncientRing,GoldenSunPiece,LostMapPiece
1,,,1,,,,,,,,,,
2,,,1,10,,,,,,,,,
3,,,0.5,10,10,,,,,,,,
4,,,0.5,10,10,10,,,,,,,
5,10,10,0.5,10,10,10,10,,,,,,
6,10,10,0.3,10,10,10,10,10,,,,,
7,10,10,0.3,10,10,10,10,10,10,,,,
8,10,10,0.3,10,10,10,10,10,10,,,,
9,10,10,0.3,10,10,10,10,10,10,,,,
10,5,5,0.25,5,5,5,5,5,5,,,,10
11,5,5,0.25,5,5,5,5,5,5,,,,5
12,5,5,0.25,5,5,5,5,5,5,,,,5
13,5,5,0.25,5,5,5,5,5,5,,,2.5,2.5
14,2.5,2.5,0.25,5,5,5,5,5,5,,5,2.5,2.5
15,2.5,2.5,0.25,5,5,5,5,5,5,10,5,2.5,2.5
